Tipo de actividad;Fecha;Favorito;Título;Distancia;Calorías;Tiempo;Frecuencia cardiaca media;Frecuencia cardiaca máxima;TE aeróbico;Cadencia de carrera media;Cadencia de carrera máxima;Ritmo medio;Ritmo óptimo;Ascenso total;Descenso total;Longitud media de zancada;Relación vertical media;Oscilación vertical media;Tiempo medio de contacto con el suelo;Cadencia de carrera media;Cadencia de carrera máxima;Training Stress Score®;Potencia media;Potencia máxima;Dificultad;Fluidez;Swolf medio;Velocidad media de palada;Repeticiones totales;Tiempo de inmersión;Temperatura mínima;Intervalo en superficie;Descompresión;Mejor tiempo de vuelta;Número de vueltas;Temperatura máxima;Tiempo en movimiento;Tiempo transcurrido;Altura mínima;Altura máxima
Trail running;14/01/2023 8:21;false;Santa Brígida Trail running;21.48;1,802;2:40:36;147;172;3.2;137;241;7:28;3:43;991;999;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;02:40:35.89.9;1;26.0;2:37:14;2:47:06;372;837
Carrera;10/01/2023 8:36;false;Santa Brígida - Series 20x12x15;8.46;673;0:47:09;156;178;3.3;165;230;5:34;3:25;93;103;1.07;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;00:08.55.3;15;28.0;0:47:05;0:48:18;474;522
Trail running;09/01/2023 8:20;false;Santa Brígida Trail running;11.11;1,044;1:08:56;160;188;4.0;160;197;6:12;3:59;322;326;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;01:08:55.66;1;28.0;1:08:43;1:08:56;366;553
Trail running;07/01/2023 16:59;false;Santa Brígida Trail running;8.02;810;1:03:47;149;175;3.1;138;247;7:57;3:58;425;425;0.91;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;01:03:46.71.1;1;27.0;1:02:40;1:03:47;544;790
Trail running;04/01/2023 16:54;false;Santa Brígida Trail running;12.08;1,007;1:28:49;144;158;2.6;148;187;7:21;4:51;345;345;0.92;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;01:28:49.19.4;1;26.0;1:28:17;1:28:49;414;531
Trail running;02/01/2023 8:01;false;Santa Brígida Trail running;5.79;513;0:35:42;152;188;3.1;156;202;6:10;4:00;155;272;1.04;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;17.0;0:00;No;35:42.09.7;1;26.0;0:35:28;0:35:42;425;567
Carrera;31/12/2022 17:10;false;Las Palmas de Gran Canaria Carrera;5.88;450;0:27:15;167;177;3.4;176;185;4:38;3:47;9;9;1.23;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;27:15.40.6;1;26.0;0:27:15;0:27:15;38;46
Carrera;29/12/2022 17:48;false;Santa Brígida - Series 20x12x15;8.66;610;0:47:11;150;178;3.0;159;210;5:27;3:00;102;95;1.13;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;00:11.46.1;15;27.0;0:47:06;0:47:17;487;522
Trail running;26/12/2022 8:21;false;Santa Brígida Trail running;15.72;1,397;1:49:11;154;178;3.4;146;239;6:57;3:54;482;489;0.99;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;01:49:10.68;1;29.0;1:48:39;1:54:13;336;609
Trail running;19/12/2022 17:09;false;Santa Brígida Trail running;10.03;915;1:03:36;157;173;3.7;154;245;6:21;3:46;288;344;1.02;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;01:03:35.85.4;1;28.0;1:03:32;1:03:36;339;526
