web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1684182123-1","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","00:00","Despejado","16°","6 km/h","29%","1023 hPa",""
"1684182123-2","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","","","","","","",""
"1684182123-3","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","00:30","Despejado","15°","7 km/h","31%","1023 hPa",""
"1684182123-4","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","01:00","Despejado","15°","7 km/h","29%","1023 hPa",""
"1684182123-5","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","01:30","Despejado","16°","7 km/h","27%","1023 hPa",""
"1684182123-6","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","02:00","Despejado","15°","4 km/h","31%","1023 hPa",""
"1684182123-7","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","02:30","Despejado","16°","11 km/h","29%","1023 hPa",""
"1684182123-8","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","03:00","Despejado","17°","7 km/h","29%","1023 hPa",""
"1684182123-9","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","03:30","Despejado","16°","7 km/h","45%","1023 hPa",""
"1684182123-10","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","04:00","Despejado","16°","9 km/h","55%","1023 hPa",""
"1684182123-11","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","04:30","Despejado","16°","11 km/h","59%","1023 hPa",""
"1684182123-12","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","05:00","Despejado","16°","13 km/h","63%","1023 hPa",""
"1684182123-13","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","05:30","Despejado","17°","13 km/h","68%","1023 hPa",""
"1684182123-14","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","06:00","Despejado","16°","9 km/h","72%","1023 hPa",""
"1684182123-15","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","06:30","Despejado","16°","13 km/h","68%","1024 hPa",""
"1684182123-16","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","07:00","Despejado","16°","13 km/h","68%","1024 hPa",""
"1684182123-17","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","07:30","Despejado","17°","13 km/h","63%","1025 hPa",""
"1684182123-18","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","08:00","Despejado","16°","9 km/h","63%","1025 hPa",""
"1684182123-19","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","08:30","Despejado","16°","11 km/h","63%","1026 hPa",""
"1684182123-20","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","09:00","Despejado","19°","13 km/h","56%","1026 hPa",""
"1684182123-21","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","09:30","Despejado","20°","11 km/h","53%","1027 hPa",""
"1684182123-22","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","10:00","Despejado","21°","13 km/h","49%","1027 hPa",""
"1684182123-23","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","10:30","Despejado","21°","13 km/h","53%","1027 hPa",""
"1684182123-24","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","11:00","Despejado","22°","17 km/h","46%","1027 hPa",""
"1684182123-25","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","11:30","Despejado","22°","20 km/h","43%","1027 hPa",""
"1684182123-26","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","12:00","Despejado","22°","22 km/h","43%","1026 hPa",""
"1684182123-27","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","12:30","Despejado","22°","17 km/h","46%","1026 hPa",""
"1684182123-28","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","13:00","Despejado","22°","17 km/h","50%","1026 hPa",""
"1684182123-29","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","13:30","Despejado","22°","17 km/h","46%","1026 hPa",""
"1684182123-30","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","14:00","Despejado","22°","15 km/h","50%","1025 hPa",""
"1684182123-31","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","14:30","Despejado","21°","15 km/h","53%","1025 hPa",""
"1684182123-32","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","15:00","Despejado","21°","13 km/h","53%","1025 hPa",""
"1684182123-33","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","15:30","Despejado","21°","9 km/h","53%","1025 hPa",""
"1684182123-34","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","16:00","Despejado","21°","7 km/h","56%","1025 hPa",""
"1684182123-35","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","16:30","Despejado","21°","7 km/h","53%","1025 hPa",""
"1684182123-36","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","17:00","Despejado","21°","6 km/h","53%","1025 hPa",""
"1684182123-37","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","17:30","Despejado","20°","4 km/h","56%","1026 hPa",""
"1684182123-38","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","18:00","Despejado","20°","2 km/h","60%","1026 hPa",""
"1684182123-39","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","18:30","Despejado","19°","6 km/h","68%","1026 hPa",""
"1684182123-40","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","19:00","Despejado","19°","6 km/h","68%","1026 hPa",""
"1684182123-41","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","19:30","Despejado","18°","4 km/h","64%","1027 hPa",""
"1684182123-42","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","20:00","Despejado","17°","9 km/h","68%","1027 hPa",""
"1684182123-43","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","20:30","Despejado","18°","2 km/h","59%","1027 hPa",""
"1684182123-44","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","21:00","Despejado","18°","4 km/h","39%","1028 hPa",""
"1684182123-45","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","21:30","Despejado","17°","6 km/h","36%","1028 hPa",""
"1684182123-46","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","22:00","Despejado","16°","9 km/h","34%","1028 hPa",""
"1684182123-47","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","22:30","Despejado","18°","11 km/h","30%","1028 hPa",""
"1684182123-48","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","23:00","Despejado","18°","11 km/h","30%","1028 hPa",""
"1684182123-49","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Martes 1 Enero 2019","23:30","Despejado","18°","11 km/h","28%","1028 hPa",""
"1684182127-50","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Miércoles 2 Enero 2019","00:00","Despejado","19°","9 km/h","30%","1027 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2019.html"
"1684182127-51","https://www.tutiempo.net/registros/gclp/1-enero-2019.html","Miércoles 2 Enero 2019","","","","","","","https://www.tutiempo.net/registros/gclp/2-enero-2019.html"
