web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1684506932-1","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","00:00","Despejado","17°","4 km/h","72%","1022 hPa",""
"1684506932-2","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","","","","","","",""
"1684506932-3","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","00:30","Despejado","18°","En calma","56%","1022 hPa",""
"1684506932-4","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","01:00","Despejado","18°","En calma","37%","1022 hPa",""
"1684506932-5","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","01:30","Despejado","18°","En calma","39%","1022 hPa",""
"1684506932-6","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","02:00","Despejado","19°","9 km/h","34%","1022 hPa",""
"1684506932-7","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","02:30","Despejado","19°","7 km/h","37%","1022 hPa",""
"1684506932-8","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","03:00","Despejado","18°","6 km/h","34%","1022 hPa",""
"1684506932-9","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","03:30","Despejado","18°","6 km/h","39%","1022 hPa",""
"1684506932-10","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","04:00","Despejado","19°","6 km/h","40%","1022 hPa",""
"1684506932-11","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","04:30","Despejado","18°","7 km/h","37%","1022 hPa",""
"1684506932-12","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","05:00","Despejado","19°","9 km/h","30%","1022 hPa",""
"1684506932-13","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","05:30","Despejado","16°","7 km/h","34%","1021 hPa",""
"1684506932-14","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","06:00","Despejado","18°","7 km/h","28%","1021 hPa",""
"1684506932-15","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","06:30","Despejado","17°","En calma","29%","1022 hPa",""
"1684506932-16","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","07:00","Despejado","18°","6 km/h","28%","1022 hPa",""
"1684506932-17","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","07:30","Despejado","19°","7 km/h","26%","1022 hPa",""
"1684506932-18","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","08:00","Despejado","18°","En calma","32%","1022 hPa",""
"1684506932-19","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","08:30","Despejado","19°","2 km/h","26%","1023 hPa",""
"1684506932-20","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","09:00","Despejado","21°","2 km/h","26%","1023 hPa",""
"1684506932-21","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","09:30","Despejado","23°","En calma","31%","1024 hPa",""
"1684506932-22","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","10:00","Despejado","23°","2 km/h","41%","1024 hPa",""
"1684506932-23","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","10:30","Despejado","23°","2 km/h","44%","1024 hPa",""
"1684506932-24","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","11:00","Despejado","23°","4 km/h","44%","1024 hPa",""
"1684506932-25","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","11:30","Despejado","23°","7 km/h","50%","1024 hPa",""
"1684506932-26","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","12:00","Despejado","22°","11 km/h","57%","1024 hPa",""
"1684506932-27","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","12:30","Despejado","22°","11 km/h","60%","1024 hPa",""
"1684506932-28","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","13:00","Despejado","22°","11 km/h","64%","1024 hPa",""
